Latitude,Longitude,Time_Stamp
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
40.3292,116.7267,1721976645
